id|source_id|attrib|object|value|attrib_type
-968154026|2|status|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|New|
-938351811|2|assigned_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
-755246940|2|created_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
-660742819|2|work_log|41a4e1f1-2c0c-7e51-0495-4900dc4c072c||
-522353477|2|priority|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|High|
-201194833|2|case_number|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|58|
73844238|2|account_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|881be9cb-3879-9660-46be-48fceb82ea5f|
131027507|2|type|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Administration|
192450540|2|modified_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|820ea7b3-d38a-2700-2ed9-4941aa91d86e|
361853782|2|name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|implement SugarCRM sample app|
391423897|2|assigned_user_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
404395255|2|modified_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|testuser|
512092784|2|description|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\tupdated|
621474714|2|date_modified|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-12-12 02:25:31|
691423225|2|date_entered|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-10-23 20:21:27|
769279701|2|resolution|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\t|
830631028|2|created_by|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
838875565|2|account_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Rhomobile|
-1055571588|1|billing_address_country|44e804f2-4933-4e20-271c-48fcecd9450d|India|
-1016564775|1|assigned_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
-993389503|1|website|44e804f2-4933-4e20-271c-48fcecd9450d|mobio.in|
-923554450|1|billing_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
-850514663|1|assigned_user_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
-805506460|1|created_by|44e804f2-4933-4e20-271c-48fcecd9450d|1|
-678852594|1|campaign_id|44e804f2-4933-4e20-271c-48fcecd9450d||
-648794332|1|billing_address_city|44e804f2-4933-4e20-271c-48fcecd9450d|Gurgaon|
-608939135|1|shipping_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
-605353927|1|email1|44e804f2-4933-4e20-271c-48fcecd9450d|ramneek@bhasin.com|
-594260079|1|date_modified|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-21 18:07:11|
-550140002|1|sic_code|44e804f2-4933-4e20-271c-48fcecd9450d||
-470464900|1|industry|44e804f2-4933-4e20-271c-48fcecd9450d|Technology|
-396146191|1|parent_name|44e804f2-4933-4e20-271c-48fcecd9450d||
-359256934|1|name|44e804f2-4933-4e20-271c-48fcecd9450d|Mobio India|
-332949845|1|annual_revenue|44e804f2-4933-4e20-271c-48fcecd9450d||
-312021027|1|ticker_symbol|44e804f2-4933-4e20-271c-48fcecd9450d||
-194048404|1|phone_fax|44e804f2-4933-4e20-271c-48fcecd9450d||
-152845069|1|shipping_address_city|44e804f2-4933-4e20-271c-48fcecd9450d||
-150248722|1|ownership|44e804f2-4933-4e20-271c-48fcecd9450d||
-45449434|1|phone_office|44e804f2-4933-4e20-271c-48fcecd9450d||
-8943188|1|phone_alternate|44e804f2-4933-4e20-271c-48fcecd9450d||
63546948|1|billing_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
114237576|1|modified_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
220076107|1|description|44e804f2-4933-4e20-271c-48fcecd9450d|Hello description!|
326182291|1|modified_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
517349454|1|employees|44e804f2-4933-4e20-271c-48fcecd9450d||
596458092|1|shipping_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
750590418|1|billing_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
839788895|1|account_type|44e804f2-4933-4e20-271c-48fcecd9450d||
923162830|1|date_entered|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-20 20:40:42|
966039289|1|rating|44e804f2-4933-4e20-271c-48fcecd9450d||
1059957377|1|parent_id|44e804f2-4933-4e20-271c-48fcecd9450d||
1065948343|1|created_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
1072561171|1|shipping_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
-1036293295|1|phone_fax|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-1015063951|1|description|63cf13da-cff4-99e7-f946-48fcec93f1cc|NULL|
-992493612|1|ownership|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-991176969|1|date_modified|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-22 20:30:48|
-981671585|1|billing_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc|Mountain View|
-843155646|1|ticker_symbol|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-729819866|1|shipping_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-685629096|1|shipping_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-663308719|1|phone_alternate|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-596218060|1|email1|63cf13da-cff4-99e7-f946-48fcec93f1cc|dan@aeroprise.com|
-475252466|1|shipping_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-469237079|1|billing_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc|CA|
-384341850|1|annual_revenue|63cf13da-cff4-99e7-f946-48fcec93f1cc||
-323884439|1|billing_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc|1032 Shoreline Drive|
-190677709|1|employees|63cf13da-cff4-99e7-f946-48fcec93f1cc||
