source_name|attrib|object|value
Case|status|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|New|
Case|assigned_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
Case|created_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
Case|work_log|41a4e1f1-2c0c-7e51-0495-4900dc4c072c||
Case|priority|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|High|
Case|case_number|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|58|
Case|account_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|881be9cb-3879-9660-46be-48fceb82ea5f|
Case|type|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Administration|
Case|modified_user_id|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|820ea7b3-d38a-2700-2ed9-4941aa91d86e|
Case|name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|implement SugarCRM sample app|
Case|assigned_user_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|adam|
Case|modified_by_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|testuser|
Case|description|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\tupdated|
Case|date_modified|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-12-12 02:25:31|
Case|date_entered|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|2008-10-23 20:21:27|
Case|resolution|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|\t\t\n\t|
Case|created_by|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|d64e9409-6445-db6f-e9eb-48fce5e9fb16|
Case|account_name|41a4e1f1-2c0c-7e51-0495-4900dc4c072c|Rhomobile|
Account|billing_address_country|44e804f2-4933-4e20-271c-48fcecd9450d|India|
Account|assigned_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
Account|website|44e804f2-4933-4e20-271c-48fcecd9450d|mobio.in|
Account|billing_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|assigned_user_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
Account|created_by|44e804f2-4933-4e20-271c-48fcecd9450d|1|
Account|campaign_id|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|billing_address_city|44e804f2-4933-4e20-271c-48fcecd9450d|Gurgaon|
Account|shipping_address_street|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|email1|44e804f2-4933-4e20-271c-48fcecd9450d|ramneek@bhasin.com|
Account|date_modified|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-21 18:07:11|
Account|sic_code|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|industry|44e804f2-4933-4e20-271c-48fcecd9450d|Technology|
Account|parent_name|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|name|44e804f2-4933-4e20-271c-48fcecd9450d|Mobio India|
Account|annual_revenue|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|ticker_symbol|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|phone_fax|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|shipping_address_city|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|ownership|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|phone_office|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|phone_alternate|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|billing_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|modified_user_id|44e804f2-4933-4e20-271c-48fcecd9450d|1|
Account|description|44e804f2-4933-4e20-271c-48fcecd9450d|Hello description!|
Account|modified_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
Account|employees|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|shipping_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|billing_address_postalcode|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|account_type|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|date_entered|44e804f2-4933-4e20-271c-48fcecd9450d|2008-10-20 20:40:42|
Account|rating|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|parent_id|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|created_by_name|44e804f2-4933-4e20-271c-48fcecd9450d|admin|
Account|shipping_address_state|44e804f2-4933-4e20-271c-48fcecd9450d||
Account|phone_fax|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|description|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|ownership|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|date_modified|63cf13da-cff4-99e7-f946-48fcec93f1cc|2008-10-22 20:30:48|
Account|billing_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc|Mountain View|
Account|ticker_symbol|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|shipping_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|shipping_address_city|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|phone_alternate|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|email1|63cf13da-cff4-99e7-f946-48fcec93f1cc|dan@aeroprise.com|
Account|shipping_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|billing_address_state|63cf13da-cff4-99e7-f946-48fcec93f1cc|CA|
Account|annual_revenue|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|billing_address_street|63cf13da-cff4-99e7-f946-48fcec93f1cc|1032 Shoreline Drive|
Account|employees|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|phone_office|63cf13da-cff4-99e7-f946-48fcec93f1cc||
Account|modified_user_id|63cf13da-cff4-99e7-f946-48fcec93f1cc|1|
Account|modified_by_name|63cf13da-cff4-99e7-f946-48fcec93f1cc|admin|
